topic_id,topic_label,top_terms,document_count,share_pct
0,"high, high risk, originated","high, high risk, originated, activity transaction, account baseline, baseline, based behavioral, based",55,55.0
1,"total, time activity, previously transacted","total, time activity, previously transacted, suspicious, reduced, suspicious transfer, transacted destination, transacted",14,14.0
2,"90, 90 day, account history","90, 90 day, account history, activity flagged, anomalous relative, balance drained, cash volume, cash_out activity",13,13.0
3,"transfers suggests, phase, prior electronic","transfers suggests, phase, prior electronic, rapid, rapid cash, suggests possible, suggests, extraction following",9,9.0
4,"transaction pattern, account behavior, activi...","transaction pattern, account behavior, activity risk, behavior indicate, behavior, balance depleted, established account, established",9,9.0
